Date,Open,High,Low,Close,Adj Close,Volume,RSI,Upper Bollinger band,Lower Bollinger band,%K (5 days stochastic oscillator),"%D Average(H,3)",EMA 12,EMA 26,Volume Weighted Average Price,William % R,Commodity Channel Index,Rate of Change (10 days),Aroon Up,Aroon Down,MACD,BUY/SELL
2010/06/03,505.16156,514.126587,505.16156,510.560394,465.903564,7894858,57.46335094,519.5113253,485.5722058,60.79741423,49.91291682,506.406957,510.517359,519.5732473,-24.91419839,3.677903121,0.03085152541,32,60,-4.110402006,1
2010/06/04,510.659454,513.135986,506.424591,510.758514,466.08432,6501620,46.62402039,518.9748352,487.1452995,61.6833416,38.31556002,507.0764273,510.5352223,519.5155197,-24.36513015,1.96288716,0.03580935123,28,56,-3.45879503,0
2010/06/07,502.734589,502.734589,495.304993,499.143616,455.485321,6231806,51.87313197,518.6381875,486.5727065,17.222239,47.54334844,505.8559948,509.6913996,519.3966623,-56.55456856,-69.81901478,-0.01456997119,24,52,-3.835404847,-1
2010/06/08,500.109467,501.595367,492.878021,493.521912,450.355408,7027122,50.51078532,519.1236591,485.9280291,3.030279785,46.56766494,503.9584436,508.4936598,519.2443454,-72.13451551,-86.5289304,0.01090649834,20,48,-4.535216221,-1
2010/06/09,495.404053,502.734589,495.304993,498.796906,455.168976,7034405,50.51078532,519.0083744,486.5456942,27.85545622,27.31195346,503.1643609,507.7753818,519.1129242,-63.29301872,-62.98069162,-0.0009920042693,16,44,-4.611020867,1
2010/06/10,500.258057,503.94809,498.846436,502.907928,458.92041,6443879,47.44671078,519.2722399,487.682834,49.51093064,16.03599167,503.1249097,507.4148296,519.0114442,-50.41822547,-30.76499497,-0.006749813689,12,40,-4.289919951,1
2010/06/11,507.687622,520.491272,505.706421,518.28717,472.954498,10756208,45.76017201,520.9689503,487.6666262,92.01795544,26.79888888,505.4575651,508.2201882,518.9706772,-7.43523515,122.9467005,0.009405294101,8,36,-2.762623062,1
2010/06/14,522.497253,529.976379,519.624451,526.756897,480.68338,7334597,34.84660035,527.1062369,487.037841,91.32176686,56.46144743,508.7343854,509.5932777,519.0134677,-8.678233144,204.1039787,0.01711937106,4,32,-0.8588923144,1
2010/06/15,527.598877,529.926819,520.119812,528.044678,481.858521,8765191,32.10756398,529.6727085,488.5788654,94.42854404,77.61688431,511.7051996,510.9600481,519.0683924,-5.206971694,172.2048046,0.05497012343,0,28,0.7451515402,0
2010/06/16,529.976379,531.28894,522.596313,524.007935,478.174866,5460960,37.88247034,531.6780641,489.0995674,77.55720397,92.58942211,513.5979282,511.9265582,519.1018588,-18.95556053,149.9144433,0.04638740449,0,24,1.671369916,-1
